epoch,accuracy,loss,val_accuracy,val_loss
0,0.9242166876792908,0.2628885805606842,0.9606000185012817,0.13460728526115417
1,0.9650166630744934,0.11682888865470886,0.9718000292778015,0.09568622708320618
2,0.9763166904449463,0.07941536605358124,0.9739000201225281,0.08631139248609543
3,0.9815166592597961,0.059325721114873886,0.9767000079154968,0.0781189501285553
4,0.9858666658401489,0.04550011083483696,0.9761999845504761,0.0795845240354538
5,0.9884833097457886,0.03628983721137047,0.9790999889373779,0.06958140432834625
6,0.9909499883651733,0.02826487272977829,0.9782000184059143,0.07088993489742279
7,0.9926333427429199,0.023179465904831886,0.9751999974250793,0.08935025334358215
8,0.9935333132743835,0.020123125985264778,0.9793000221252441,0.07577203214168549
9,0.9949666857719421,0.015689954161643982,0.982200026512146,0.06544551253318787
